WebsiteUrl,Dimension,Sessions,Range
https://cu.ncl.edu.tw/,ga:tabletPageSessions,2,today
https://pearl.archives.gov.tw/,ga:desktopPageSessions,25652,30daysAgo
https://www.ey.gov.tw/,ga:mobilePageSessions,16003,30daysAgo
https://mab.mnd.gov.tw,ga:tabletPageSessions,275,30daysAgo
https://phis.baphiq.gov.tw,ga:desktopPageSessions,8425,7daysAgo
https://tech.swcb.gov.tw,ga:mobilePageSessions,4943,7daysAgo
https://photo.swcb.gov.tw,ga:tabletPageSessions,82,7daysAgo
https://learning.swcb.gov.tw,ga:desktopPageSessions,613,today
https://ins-info.ib.gov.tw,ga:mobilePageSessions,302,today
https://www.landbank.com.tw/,ga:tabletPageSessions,7,today
https://iaweb.landbank.com.tw/OnlineSlip/Fillout.aspx,ga:desktopPageSessions,8373,30daysAgo
https://www.swcb.gov.tw/,ga:mobilePageSessions,1082,30daysAgo
http://www.fda.gov.tw,ga:tabletPageSessions,35,30daysAgo
https://afrch.forest.gov.tw/,ga:desktopPageSessions,1431,7daysAgo
https://publibstat.nlpi.edu.tw/,ga:mobilePageSessions,352,7daysAgo
https://afpc.mnd.gov.tw,ga:tabletPageSessions,12,7daysAgo
https://www.erc.nkfust.edu.tw/enserts/,ga:desktopPageSessions,92,today
https://www.rb.gov.tw,ga:mobilePageSessions,30,today
https://www.taiwanngo.tw,ga:desktopPageSessions,66614,30daysAgo
https://rate.bot.com.tw,ga:mobilePageSessions,66035,30daysAgo
https://www.ecar.nat.gov.tw,ga:tabletPageSessions,440,30daysAgo
https://www.moeasmea.gov.tw,ga:desktopPageSessions,18962,7daysAgo
https://www.hsinchu.gov.tw,ga:mobilePageSessions,18236,7daysAgo
http://www.tcsac.gov.tw/,ga:tabletPageSessions,99,7daysAgo
https://air.mnd.gov.tw,ga:desktopPageSessions,1954,today
https://www.changtax.gov.tw/,ga:mobilePageSessions,847,today
https://www.vghks.gov.tw,ga:tabletPageSessions,7,today
https://www.sunmoonlake.gov.tw/,ga:mobilePageSessions,1,30daysAgo
https://www.sunmoonlake.gov.tw/Japanese,ga:desktopPageSessions,6901,30daysAgo
https://www.sunmoonlake.gov.tw/Korea,ga:mobilePageSessions,3089,30daysAgo
https://www.afats.khc.edu.tw,ga:tabletPageSessions,67,30daysAgo
https://web3.dgpa.gov.tw/want03front,ga:desktopPageSessions,2415,7daysAgo
http://school.hakka.gov.tw/Game_107/,ga:mobilePageSessions,1034,7daysAgo
https://idbpark.moeaidb.gov.tw,ga:tabletPageSessions,36,7daysAgo
https://www.ppmof.gov.tw,ga:desktopPageSessions,179,today
https://etd.etax.nat.gov.tw,ga:mobilePageSessions,60,today
https://www.chrdc.gov.tw/,ga:tabletPageSessions,4,today
https://parent-child.taichung.gov.tw,ga:desktopPageSessions,20366,30daysAgo
https://ge.taichung.gov.tw,ga:mobilePageSessions,60885,30daysAgo
https://community.society.taichung.gov.tw/,ga:tabletPageSessions,729,30daysAgo
https://www.twtainan.net,ga:desktopPageSessions,7503,7daysAgo
https://www.cwb.gov.tw/V8/C/index.html,ga:mobilePageSessions,14599,7daysAgo
http://www.tpy.moj.gov.tw,ga:tabletPageSessions,196,7daysAgo
https://www.cpc.com.tw/,ga:desktopPageSessions,543,today
https://www.chshb.gov.tw,ga:mobilePageSessions,745,today
https://www.ttcpb.gov.tw,ga:tabletPageSessions,15,today
https://talk.taichung.gov.tw,ga:desktopPageSessions,804,30daysAgo
https://iweb.sa.gov.tw,ga:mobilePageSessions,1219,30daysAgo
https://tad.tycg.gov.tw/,ga:tabletPageSessions,23,30daysAgo
https://swd.wda.gov.tw,ga:desktopPageSessions,235,7daysAgo
https://cptpp.trade.gov.tw/,ga:mobilePageSessions,326,7daysAgo
https://www.caa.gov.tw,ga:tabletPageSessions,3,7daysAgo
https://airport-city.caa.gov.tw/,ga:desktopPageSessions,19,today
https://regservice.kcg.gov.tw/,ga:mobilePageSessions,24,today
https://land.hsinchu.gov.tw/,ga:desktopPageSessions,77,30daysAgo
http://wetland-tw.tcd.gov.tw/,ga:desktopPageSessions,22,7daysAgo
https://newsouthboundpolicy.trade.gov.tw/,ga:desktopPageSessions,1943,30daysAgo
https://asf.baphiq.gov.tw/,ga:mobilePageSessions,2829,30daysAgo
https://www.ccafps.khc.edu.tw,ga:tabletPageSessions,113,30daysAgo
https://tax.nat.gov.tw,ga:desktopPageSessions,558,7daysAgo
http://www.eximclub.com.tw/,ga:mobilePageSessions,911,7daysAgo
https://ei.eximbank.com.tw/Pages/EIHome.aspx,ga:tabletPageSessions,36,7daysAgo
https://www.eximbank.com.tw,ga:desktopPageSessions,46,today
https://klnearts.klccab.gov.tw,ga:mobilePageSessions,58,today
http://www.klccab.gov.tw,ga:tabletPageSessions,3,today
https://www.hdares.gov.tw,ga:desktopPageSessions,112924,30daysAgo
https://www.mdais.gov.tw,ga:mobilePageSessions,294125,30daysAgo
https://www.tres.gov.tw,ga:tabletPageSessions,8131,30daysAgo
https://www.tydares.gov.tw,ga:desktopPageSessions,31442,7daysAgo
https://www.cna.edu.tw,ga:mobilePageSessions,74940,7daysAgo
https://www.pabp.gov.tw,ga:tabletPageSessions,2097,7daysAgo
https://disaster.tari.gov.tw,ga:desktopPageSessions,2122,today
https://poai.kcg.gov.tw/,ga:mobilePageSessions,5141,today
https://motclaw.motc.gov.tw/,ga:tabletPageSessions,156,today
https://www.chepb.gov.tw/,ga:desktopPageSessions,2781,30daysAgo
https://tip.railway.gov.tw,ga:mobilePageSessions,1538,30daysAgo
https://recycle.epa.gov.tw/,ga:tabletPageSessions,52,30daysAgo
https://www.moeaitc.gov.tw/,ga:desktopPageSessions,758,7daysAgo
https://www.tlri.gov.tw/,ga:mobilePageSessions,449,7daysAgo
https://www.typd.gov.tw/,ga:tabletPageSessions,17,7daysAgo
http://plan.chepb.gov.tw/iaq/index.aspx,ga:desktopPageSessions,45,today
https://www.abri.gov.tw,ga:mobilePageSessions,20,today
https://fae.coa.gov.tw,ga:desktopPageSessions,6705,30daysAgo
http://eeis.ylepb.gov.tw/,ga:mobilePageSessions,5897,30daysAgo
